"name","code","unit","category","brand","vendor","image_url","quantity","is_active","created_by","created_at","updated_at"
"4801 TPL SHINING GEL","2050","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284506","2026-03-08T14:57:16.284508"
"4808 HD FOIL GEL","2051","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284541","2026-03-08T14:57:16.284543"
"TPL GRAFCO 916 ACTIVE TRANSFER GEL","2052","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284577","2026-03-08T14:57:16.284579"
"CSC POLYGRAY O/B","2053","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284619","2026-03-08T14:57:16.284620"
"TPL BRIGHT GOLD SIMMER","2054","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284653","2026-03-08T14:57:16.284655"
"TPL BRIGHT SILVER SIMMER","2055","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284689","2026-03-08T14:57:16.284692"
"TPL BRIGHT SILVER SIMMER (TRANSFER)","2056","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284726","2026-03-08T14:57:16.284728"
"CRYSTAL GEL ","2057","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284765","2026-03-08T14:57:16.284767"
"GRAFCO PRINT REMOVER","2058","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284804","2026-03-08T14:57:16.284806"
"LIQUID THICKNER ","2059","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284841","2026-03-08T14:57:16.284843"
"STONE HD O/B","2060","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284877","2026-03-08T14:57:16.284879"
"T.HIDENSITY","2061","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284913","2026-03-08T14:57:16.284915"
"T.HIDENSITY WHITE","2062","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284948","2026-03-08T14:57:16.284950"
"D.HIDENSITY","2063","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.284985","2026-03-08T14:57:16.284987"
"USA CLEAR GEL","2064","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285020","2026-03-08T14:57:16.285022"
"L.HIDENSITY","2065","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285056","2026-03-08T14:57:16.285058"
"916 FOIL GEL","2066","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285089","2026-03-08T14:57:16.285091"
"PT TRANSFER GEL","2067","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285125","2026-03-08T14:57:16.285127"
"TPL OM HIGH DENSITY","2068","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285158","2026-03-08T14:57:16.285160"
"TPL OM HIGH DENSITY WHITE","2069","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285190","2026-03-08T14:57:16.285192"
"TPL OM HIGH DENSITY BLACK","2070","KG","TPL","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.285224","2026-03-08T14:57:16.285225"
"Water-based softening agent","8100","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285258","2026-03-08T14:57:16.285260"
"High density white rubber paste (Table)","BT-8010","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285292","2026-03-08T14:57:16.285294"
"High density clear rubber paste (Table)","BT-8010Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285327","2026-03-08T14:57:16.285329"
"Machine high density white rubber paste","BT-8012","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285361","2026-03-08T14:57:16.285363"
"Machine high density clear rubber paste","BT-8012Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285393","2026-03-08T14:57:16.285395"
"Stone white rubber paste","BT-8013","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285427","2026-03-08T14:57:16.285428"
"Stone clear rubber paste","BT-8013Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285461","2026-03-08T14:57:16.285463"
"Glitter paste","BT-8020A","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285495","2026-03-08T14:57:16.285497"
"Anti-foil paste","BT-8030","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285528","2026-03-08T14:57:16.285530"
"Anti-migration white rubber paste","FS","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285562","2026-03-08T14:57:16.285564"
"Cold foil paste","H-95","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285595","2026-03-08T14:57:16.285597"
"Clear rubber paste","HL-371","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285629","2026-03-08T14:57:16.285631"
"High elasticity white rubber paste","HL-8065A","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285663","2026-03-08T14:57:16.285665"
"High elasticity clear rubber paste","HL-8065YA","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285696","2026-03-08T14:57:16.285698"
"High grade machine white rubber paste","HL-885    ","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285728","2026-03-08T14:57:16.285730"
"High grade machine clear rubber paste","HL-885Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285761","2026-03-08T14:57:16.285763"
"Normal grade machine clear rubber paste","HL-886Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285794","2026-03-08T14:57:16.285796"
"Elastic ribbon white rubber paste","HN-3","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285827","2026-03-08T14:57:16.285829"
"Fixer","KD","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285860","2026-03-08T14:57:16.285862"
"Glossy denim (JEANS) white rubber paste","KD-1","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285892","2026-03-08T14:57:16.285893"
"Matt denim (JEANS) white rubber paste","KD-2","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285923","2026-03-08T14:57:16.285925"
"Matt denim (JEANS) clear rubber paste","KD-2Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285955","2026-03-08T14:57:16.285957"
"Glossy denim (JEANS) clear rubber paste","KD-3","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.285990","2026-03-08T14:57:16.285992"
"Water-proof nylon white rubber paste with KD Fixer 2%","PH-107A","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286022","2026-03-08T14:57:16.286024"
"Water-proof nylon clear rubber paste with KD Fixer 2%","PH-107YA","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286054","2026-03-08T14:57:16.286056"
"Nylon Rubber White Paste","PH-107B ","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286085","2026-03-08T14:57:16.286087"
"White Rubber paste for silicon coating mercerized cotton 5 KG","PH-108A","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286117","2026-03-08T14:57:16.286119"
"B2 Hot Foil Paste","H-97","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286156","2026-03-08T14:57:16.286158"
"B2 Transfer Flock Gel","2071","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286201","2026-03-08T14:57:16.286203"
"Sublimation Binder","2072","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286238","2026-03-08T14:57:16.286240"
"Glossy white rubber paste","HL-8066","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286273","2026-03-08T14:57:16.286275"
"Glossy clear rubber paste","HL-8066Y","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286308","2026-03-08T14:57:16.286310"
"Denim imitated discharge white paste","PH-404","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286344","2026-03-08T14:57:16.286346"
"Denim imitated discharge clear paste","PH-405","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286377","2026-03-08T14:57:16.286379"
"LM Clear","2073","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286412","2026-03-08T14:57:16.286414"
"Water-based hot melt glue","PH-001","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286447","2026-03-08T14:57:16.286449"
"DIGITAL WHITE W/B","HL 660","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286481","2026-03-08T14:57:16.286483"
"PU MATT COATING","2074","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286517","2026-03-08T14:57:16.286519"
"STONE PUFF","2075","KG","W/B","B2","null","null","0","True","Sreeram","2026-03-08T14:57:16.286552","2026-03-08T14:57:16.286554"
"GLITTER GEL","SP234","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286586","2026-03-08T14:57:16.286588"
"FOIL ADHESIVE","SP236","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286619","2026-03-08T14:57:16.286621"
"REGULATOR","SP209","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286654","2026-03-08T14:57:16.286656"
"FLUORESCENT GREEN","2076","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286689","2026-03-08T14:57:16.286691"
"FLUORESENT YELLOW","2077","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286724","2026-03-08T14:57:16.286726"
"PUFF BASE OB (TPL FOAM)","NF80","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286757","2026-03-08T14:57:16.286759"
"FIXER","2078","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286791","2026-03-08T14:57:16.286793"
"WHITE","XP50","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286825","2026-03-08T14:57:16.286827"
"HD WHITE","2079","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286859","2026-03-08T14:57:16.286861"
"HD CLEAR","2080","KG","W/B","ANTEX","null","null","0","True","Sreeram","2026-03-08T14:57:16.286892","2026-03-08T14:57:16.286894"
"BN BINDER","2081","KG","W/B","PIDILITE","null","null","0","True","Sreeram","2026-03-08T14:57:16.286929","2026-03-08T14:57:16.286931"
"PROTON 5000","2082","KG","W/B","PROTON","null","null","0","True","Sreeram","2026-03-08T14:57:16.286963","2026-03-08T14:57:16.286965"
"PRINTOFIX BINDER T20-20FL","2083","KG","W/B","CLARIANT","null","null","0","True","Sreeram","2026-03-08T14:57:16.286995","2026-03-08T14:57:16.286997"
"434 GLITTER BINDER","2084","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.287030","2026-03-08T14:57:16.287032"
"TABLE THICKNER","2085","KG","W/B","PIDILITE","null","null","0","True","Sreeram","2026-03-08T14:57:16.287064","2026-03-08T14:57:16.287066"
"FIXCER","2086","KG","W/B","PIDILITE","null","null","0","True","Sreeram","2026-03-08T14:57:16.287097","2026-03-08T14:57:16.287099"
"CLARIANT SOFTNER","2087","KG","W/B","CLARIANT","null","null","0","True","Sreeram","2026-03-08T14:57:16.287129","2026-03-08T14:57:16.287131"
"LIQUID AMMONIA (450 ML)","2088","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.287162","2026-03-08T14:57:16.287163"
"EMULSPARY (SOAP OIL)","2089","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.287194","2026-03-08T14:57:16.287196"
"GOLD BINDER GBX","2090","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.287228","2026-03-08T14:57:16.287230"
"K FLOCK BINDER","2091","KG","W/B","KARAN","null","null","0","True","Sreeram","2026-03-08T14:57:16.287302","2026-03-08T14:57:16.287307"
"IMP. WATER PASTE","2092","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.287722","2026-03-08T14:57:16.287872"
"WATER PASTE","2093","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288313","2026-03-08T14:57:16.288320"
"OIL PASTE","2094","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288432","2026-03-08T14:57:16.288436"
"GOLD BRONZE POWDER, A1","2095","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288512","2026-03-08T14:57:16.288516"
"GOLD BRONZE POWDER, A2","2096","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288582","2026-03-08T14:57:16.288585"
"GOLD BRONZE POWDER, A3","2097","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288642","2026-03-08T14:57:16.288646"
"GOLD BRONZE POWDER, C3","2098","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288708","2026-03-08T14:57:16.288711"
"GOLD BRONZE POWDER FX 300","2099","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288771","2026-03-08T14:57:16.288774"
"COPPER POWDER, O2","2100","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.288836","2026-03-08T14:57:16.288839"
"RED BROWN","2101","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.289027","2026-03-08T14:57:16.289036"
"UREA","2102","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.289253","2026-03-08T14:57:16.289260"
"SBS FLOCK GEL","2103","KG","W/B","DUCOL","null","null","0","True","Sreeram","2026-03-08T14:57:16.289890","2026-03-08T14:57:16.289898"
"ALUMINIUM POWDER (NO. 5, 6 & 7)","2104","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290023","2026-03-08T14:57:16.290028"
"DRG GOLD SIMMER","2105","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290112","2026-03-08T14:57:16.290116"
"B2 GLITTER BINDER","2106","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290187","2026-03-08T14:57:16.290191"
"PIDICRYL BINDER FJN","2107","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290326","2026-03-08T14:57:16.290334"
"METALLIC BINDER","2108","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290463","2026-03-08T14:57:16.290467"
"FIXER N","2109","KG","W/B","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290544","2026-03-08T14:57:16.290547"
"SHARPNER","2110","KG","W/B","PIDILITE","null","null","0","True","Sreeram","2026-03-08T14:57:16.290603","2026-03-08T14:57:16.290606"
"GLITTERS","2111","KG","PRINTING ADD ON","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290655","2026-03-08T14:57:16.290657"
"GLITTERS FIRE SERIES","2112","KG","PRINTING ADD ON","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290704","2026-03-08T14:57:16.290707"
"GLITTERS FLUORESCENT","2113","KG","PRINTING ADD ON","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290752","2026-03-08T14:57:16.290755"
"GLITTERS ECO FRIENDLY","2114","KG","PRINTING ADD ON","-","null","null","0","True","Sreeram","2026-03-08T14:57:16.290809","2026-03-08T14:57:16.290812"
"DIRECT WHITE (NATURAL WHITE)","2115","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.290857","2026-03-08T14:57:16.290859"
"TRANSFER WHITE","2116","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.290905","2026-03-08T14:57:16.290908"
"BRIGHT WHITE","2117","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.290952","2026-03-08T14:57:16.290955"
"LITHO BACK UP WHITE","2118","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291003","2026-03-08T14:57:16.291005"
"ORANGE","2119","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291159","2026-03-08T14:57:16.291165"
"KELLY GREEN","2120","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291245","2026-03-08T14:57:16.291249"
"BLOOD RED","2121","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291326","2026-03-08T14:57:16.291330"
"LAKE RED","2122","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291393","2026-03-08T14:57:16.291396"
"GOLDEN YELLOW","2123","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291460","2026-03-08T14:57:16.291463"
"LEMON YELLOW","2124","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.291532","2026-03-08T14:57:16.291535"
"ROYAL BLUE","2125","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.292550","2026-03-08T14:57:16.292560"
"NAVY BLUE","2126","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294373","2026-03-08T14:57:16.294383"
"BLACK","2127","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294526","2026-03-08T14:57:16.294531"
"VIOLET","2128","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294626","2026-03-08T14:57:16.294631"
"T. BLUE","2129","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294706","2026-03-08T14:57:16.294710"
"DIRECT GEL","2130","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294777","2026-03-08T14:57:16.294781"
"TRANSFER GEL","2131","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294845","2026-03-08T14:57:16.294849"
"MIXING REDUCER","2132","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294915","2026-03-08T14:57:16.294918"
"CLEANING REDUCER","2133","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.294982","2026-03-08T14:57:16.294985"
"FOAM","2134","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295076","2026-03-08T14:57:16.295079"
"T.HIGH DENSITY BASE","2135","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295145","2026-03-08T14:57:16.295148"
"IT HIGH DENSITY BASE","2136","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295210","2026-03-08T14:57:16.295213"
"POLYGREY","2137","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295296","2026-03-08T14:57:16.295300"
"WHITE AND BLACK HIGH DENSITY","2138","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295366","2026-03-08T14:57:16.295370"
"FLUORESCENT ALL COLOURS","2139","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295432","2026-03-08T14:57:16.295436"
"HI GEL","2140","KG","NON PVC O/B","GRAFCO","null","null","0","True","Sreeram","2026-03-08T14:57:16.295500","2026-03-08T14:57:16.295503"
